"candidate_id";"name";"party";"number";"registration_reconciled";"policy_summary";"institutional_act";"current_office_confirmed";"previous_disputes";"past_vote_rows_missing";"web_audit_status";"source"
"210002534004";"Erick Denil";"PCdoB";"65444";"True";"True";"True";"True";"3";"0";"declared_social_links_only";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534004"
"210002534029";"Giovani Culau";"PCdoB";"65656";"True";"True";"True";"True";"3";"0";"public_website_read_needs_editorial_review";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534029"
"210002534030";"Humberto Matos";"PCdoB";"65065";"True";"True";"False";"False";"2";"0";"public_website_read_needs_editorial_review";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534030"
"210002534016";"Nilvo Riboldi";"PCdoB";"65653";"True";"True";"False";"False";"0";"0";"declared_social_links_only";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534016"
"210002534025";"Professora Bilina";"PCdoB";"65651";"True";"True";"False";"False";"1";"0";"declared_social_links_only";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534025"
"210002534031";"Sandra Picoli";"PCdoB";"65123";"True";"True";"True";"False";"4";"0";"declared_social_links_only";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534031"
"210002539778";"Airton Artus";"PDT";"12012";"True";"True";"False";"False";"5";"1";"public_website_read_needs_editorial_review";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539778"
"210002539816";"Alexandre Gonçalves";"PDT";"12001";"True";"False";"False";"False";"7";"0";"declared_social_links_only";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539816"
"210002539780";"Amanda Rodrigues";"PDT";"12700";"True";"True";"True";"False";"1";"0";"declared_social_links_only";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539780"
"210002539782";"André Duarte";"PDT";"12470";"True";"False";"False";"False";"0";"0";"declared_social_links_only";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539782"
