"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"SG_PARTIDO";"NM_PARTIDO";"NR_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_SITUACAO_CANDIDATURA";"DS_DETALHE_SITUACAO_CAND";"DS_SITUACAO_JULGAMENTO";"DS_SITUACAO_CASSACAO";"DS_SITUACAO_SUBSTITUICAO";"DS_OCUPACAO";"ST_REELEICAO";"NM_MUNICIPIO_NASCIMENTO";"SG_UF_NASCIMENTO"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533062";"30330";"IGOR DAL BO";"DAL BÓ";"NOVO";"PARTIDO NOVO";"30";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"DIRETOR DE EMPRESAS";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537531";"40444";"LADISLE CAMARGO TEIXEIRA";"LADISLÊ TEIXEIRA";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"INDUSTRIAL";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537538";"40040";"PAULO DE TARSO GASPAR PINHEIRO MACHADO";"PAULO DE TARSO";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ECONOMISTA";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002537533";"40004";"VINICIUS KLEIN BONDAN";"VINICIUS BONDAN";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"40";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ADVOGADO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533067";"30011";"EBER LANGONI";"ÉBER LANGONI";"NOVO";"PARTIDO NOVO";"30";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ADVOGADO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533037";"30700";"EFREU BRIGNOL QUINTANA";"EFREU QUINTANA";"NOVO";"PARTIDO NOVO";"30";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ARQUITETO";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533069";"30200";"IURI CABELEIRA GOMES";"IURI CABELEIRA";"NOVO";"PARTIDO NOVO";"30";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"BOMBEIRO MILITAR";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533057";"30019";"CLAUDIA DE FREITAS PERUZZATO";"CLAUDIA LACERDA";"NOVO";"PARTIDO NOVO";"30";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ADMINISTRADOR";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533052";"30555";"LUIS PAULO KAYSER";"PRETO KAYSER";"NOVO";"PARTIDO NOVO";"30";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"ADMINISTRADOR";"";"";"RS"
"21/09/2026";"12:31:37";"2026";"6259";"Eleições Gerais Estaduais 2026";"RS";"7";"DEPUTADO ESTADUAL";"210002533054";"30999";"CRISTOL DE PAIVA GOUVÊA";"CRISTOL GOUVÊA";"NOVO";"PARTIDO NOVO";"30";"-1";"#NULO";"#NULO";"#NE";"";"";"";"";"FÍSICO";"";"";"RS"
