"candidate_id";"name";"party";"ballot_number";"summary_before";"summary_after";"summary_new";"current_office_confirmed";"current_office_label";"institutional_act_available";"phase2_review_status";"past_verified_rows";"past_nominal_unknown_rows";"past_ticket_not_applicable_rows";"past_other_population_rows";"acts_without_process_number_in_source";"source"
"210002534004";"Erick Denil";"PCdoB";"65444";"True";"True";"False";"True";"Vereador de Porto Alegre";"True";"no_additional_phase2_review_recorded";"3";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534004"
"210002534029";"Giovani Culau";"PCdoB";"65656";"True";"True";"False";"True";"Vereador de Porto Alegre";"True";"no_additional_phase2_review_recorded";"3";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534029"
"210002534030";"Humberto Matos";"PCdoB";"65065";"False";"True";"True";"False";"";"False";"new_summary_reviewed";"2";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534030"
"210002534016";"Nilvo Riboldi";"PCdoB";"65653";"False";"True";"True";"False";"";"False";"new_summary_reviewed";"0";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534016"
"210002534025";"Professora Bilina";"PCdoB";"65651";"False";"True";"True";"False";"";"False";"new_summary_reviewed";"1";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534025"
"210002534031";"Sandra Picoli";"PCdoB";"65123";"False";"True";"True";"False";"";"True";"new_summary_reviewed";"4";"0";"0";"0";"1";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002534031"
"210002539778";"Airton Artus";"PDT";"12012";"True";"True";"False";"False";"";"False";"no_additional_phase2_review_recorded";"4";"0";"1";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539778"
"210002539816";"Alexandre Gonçalves";"PDT";"12001";"False";"False";"False";"False";"";"False";"no_additional_phase2_review_recorded";"7";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539816"
"210002539780";"Amanda Rodrigues";"PDT";"12700";"False";"True";"True";"False";"";"True";"new_summary_reviewed";"1";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539780"
"210002539782";"André Duarte";"PDT";"12470";"False";"False";"False";"False";"";"False";"no_additional_phase2_review_recorded";"0";"0";"0";"0";"0";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539782"
